"Data Source","World Development Indicators",

"Last Updated Date","2023-12-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Manufacturing, value added (% of GDP)","NV.IND.MANF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.51776649746193","2.51012145748988","2.47702407002188","2.7940288493794","3.59922178988327","4.10096377494424","4.27707297760187","4.4258336418259","4.77750508341168","5.62202020887743","6.18729480964419","6.56566033561861","6.66602266899619","6.67084036318234","4.20598999407169","2.86046777972098","4.20609398852294","1.99163765537339","3.26264307471188","3.43935218464331","3.58527899141791","3.68902469279816","3.73375379915049","3.22501820314885","2.56243337150077","","","",
"Africa Eastern and Southern","AFE","Manufacturing, value added (% of GDP)","NV.IND.MANF.ZS","","","","","","14.7926500810756","14.788502820322","14.6647739038256","14.7510669457166","14.9316202665691","15.3062812250356","15.0853894372035","14.6389644961788","15.1299376871949","15.0948742348218","15.8907265900244","15.5835487398321","14.4555898801144","14.6235442969334","15.4376655936041","16.2006337678953","17.5282802298189","16.8671494750312","17.1260674836847","16.3113923798683","14.7076077712306","15.0175033929303","16.1938237145447","16.2986983064749","16.5523487885339","16.6652555207616","15.9574907290334","17.6356942568463","16.7550368055438","16.8531577927711","16.9172738612962","16.2302353706511","15.9102579155771","15.4984327805063","14.8326958508757","14.6512095670748","14.7110800812009","14.0948733826196","14.4597225755184","14.3996283288246","13.5710608784079","12.2253336086815","11.8741098313261","11.1829986753465","11.618821288912","11.1242694448907","10.4831330323253","10.2851235500837","9.94341089658223","9.74980375300488","9.953198920974","9.94928663117095","9.7818694175924","10.8305426181208","10.7329118957149","10.3548875272064","10.4879817871144","10.5275025763222",
"Afghanistan","AFG","Manufacturing, value added (% of GDP)","NV.IND.MANF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.8227521829407","16.9238662341696","17.5540062570161","16.5982122192596","16.3855371972017","17.7473095255876","17.839116299","13.14987660941","12.5225768432907","13.7791892429929","12.4860851363953","11.4998672561905","11.477587555803","11.4200060049012","4.1141966128347","3.53042246146676","6.16017721650239","7.04318108092508","7.52811462924912","8.49315681616916","",
"Africa Western and Central","AFW","Manufacturing, value added (% of GDP)","NV.IND.MANF.ZS","","","","","","","","","","","","","","","","","","","","","","21.6429816383076","21.4142331003764","20.9901195246756","17.1118367628277","20.0157947829952","17.9751079928682","15.8710406488108","16.7649121952661","14.9207444584284","14.9373174337728","15.7776008498734","14.4764499625327","15.540521290687","18.3735696852622","18.7653688772486","17.9922212785332","18.4512239854626","17.0780484823843","13.6016190849882","12.5819050269574","12.5514020969543","11.5521357569578","11.6057693354916","10.7926507061919","10.4321714822052","9.59404228380341","9.55012430171629","9.43468354492792","9.26227172978335","8.11874247445559","8.71780624657864","8.68886623520487","9.97722434767507","10.4098915967569","10.1661244058675","9.86146460960683","9.95763934345312","10.4281247744977","11.3753744553676","11.9002837450221","13.0912419882016","12.6077916854053",
"Angola","AGO","Manufacturing, value added (% of GDP)","NV.IND.MANF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.64628079359054","3.44574999431473","4.37839118384962","6.25937084278895","3.22287577892959","2.89016332100962","3.87310081436431","3.66182566484066","3.99981452887264","4.68193830870652","3.91288354903499","3.61281577438344","3.399491640092","3.46173680669987","5.10942154872725","4.54177403520362","4.16780473313727","4.40328953329052","4.82734265180973","4.76307157240238","5.68514480307257","6.75268074236392","6.58054965735374","6.05946923337998","6.13744698434697","7.06304272536463","6.54051297580083","7.43445165065698",
"Albania","ALB","Manufacturing, value added (% of GDP)","NV.IND.MANF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.85795208144539","4.58342890946626","4.72394295929822","4.53252298272745","4.31784580575779","4.09904001959361","4.06654283252579","4.12416007365678","4.17755701844762","4.42584401421105","4.90492532097372","5.29679097861481","4.99779767478874","5.19758098355153","5.45212540687051","5.66189767373199","4.61445771380938","5.05980135594677","5.32578898520395","5.67151941669391","5.68442741798015","6.15816688393972","6.13329355982411","6.25619510166206","6.15603616203593","6.15517123289878","6.53665287870632",
"Andorra","AND","Manufacturing, value added (% of GDP)","NV.IND.MANF.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.83085443139985","3.45174669836697","3.43814816998333","3.61578788906996","3.65504788618828","3.47674821321747","3.43504662211946","3.39881638773171","3.57693438403017","3.61231681311535","3.69978980213733","3.66060401500449","3.72383504240788","3.83815615460753","3.67687366253974","3.70608985448457","3.74112485956452","3.74883272584872","3.61028448557391","3.67368951398301","3.73356933178986","","",
"Arab World","ARB","Manufacturing, value added (% of GDP)","NV.IND.MANF.ZS","","","","","","","","","","","","","","","","7.7654149148194","7.29406256190496","7.29707350878469","7.42256671819332","7.179858474217","6.58642252420745","7.57252085678523","8.13565683305714","9.12215851185201","9.96026355514303","10.2298126010427","10.6700437742845","11.2171873408838","12.5872016268311","12.3878651941422","9.45241222023214","10.6956511978106","10.7178752868711","10.6026807075381","10.632748229185","11.3884199540332","11.6401373486268","11.7592294094663","12.0677074446579","11.765907162166","11.9445618642014","12.4285149418808","12.6932312978357","13.042923799731","12.7588016207737","12.3903410995205","11.885747359742","11.4889231881639","11.1875605482005","10.9794595511675","11.0053203872733","11.6401526802954","11.4457755713656","11.2133002392732","11.3772443903023","11.6436761095431","11.6201417415947","11.3873419270265","11.5674090629394","11.384152671013","11.8163814302791","12.3536469460133","13.1714733939331",
"United Arab Emirates","ARE","Manufacturing, value added (% of GDP)","NV.IND.MANF.ZS","","","","","","","","","","","","","","","","0.910603124517689","1.12309252017748","2.74407202159","3.43216609989027","3.05756754261542","3.72808374268427","6.41237306946875","7.92687202019258","8.76975262678911","9.14469269010992","8.92751717475311","8.27561854470455","8.77449108700372","8.84071248347951","8.16657688315442","7.4938885157824","7.42306391613121","7.58367150146651","7.8437806072478","6.58769274582126","6.77246265719199","6.63729265402844","7.89550062539303","8.63108731478083","8.55748953651097","9.07200029229159","13.3137591852656","13.0634763203571","12.2624610762446","11.5123829171924","10.608039735308","9.65695462798033","9.0255775725641","8.60026538838952","9.19537711686217","8.47542175772982","8.14829315970101","8.08503637670565","7.92574426833549","8.11529453740231","9.1758933520037","9.32746091059342","9.38138082343735","8.92578979482029","8.86735310804829","10.2917800360059","10.0017515004787","9.72595322914348",
"Argentina","ARG","Manufacturing, value added (% of GDP)","NV.IND.MANF.ZS","","","","","","41.184160179361","41.0085848893582","37.8240272440343","36.1962188354532","36.6454303394205","31.5447436578601","35.762858969727","36.358073530149","34.3339746673214","34.0368852105037","38.2151082839456","39.1167603264945","36.5949867337521","34.1276092098082","32.6851576737693","29.4760969898486","28.7652362920743","31.3602562635854","30.6694675312814","29.7084408031154","29.6418473138549","27.4195971594836","27.4966462800495","27.9996758567287","30.9493718883737","26.7897045521809","24.3864490932335","21.8591315586603","18.2399115325496","17.8190917106899","17.2467521148076","17.5357232920479","18.227905749866","17.8379584760908","16.9615250614589","16.4942719439838","16.0932258763829","20.347773913878","22.4867505875749","18.9370136214371","18.340415936715","17.8777938558849","17.0474154518997","16.5383660984547","15.5837772738051","15.8448608064195","15.8506983942663","15.2168009115954","15.0110542553443","14.7727785491821","14.1815854549835","13.4880259708051","12.8351683415363","14.0601434041581","13.5408390702829","14.5905295089183","15.7734381256647","16.0533319836025",
